file,speaker,label,word,device,env,distance,peak_dbfs,rms_dbfs,warnings,timestamp
unknown/teste_gato_esp32_001.wav,teste,unknown,gato,esp32,sala,medio,-5.0,-26.6,,2026-09-25T18:39:01
dog/teste_dog_esp32_001.wav,teste,dog,dog,esp32,sala,perto,-31.8,-45.2,palavra pode estar CORTADA no início/fim,2026-09-25T18:39:03
noise/teste_silencio_esp32_001.wav,teste,noise,silencio,esp32,sala,medio,-31.7,-39.8,,2026-09-25T18:39:05
ball/teste_ball_esp32_001.wav,teste,ball,ball,esp32,sala,perto,-9.5,-31.4,palavra pode estar CORTADA no início/fim,2026-09-25T18:39:07
cat/teste_cat_esp32_001.wav,teste,cat,cat,esp32,sala,longe,-3.7,-27.8,palavra pode estar CORTADA no início/fim,2026-09-25T18:39:09
noise/bg_ambiente_esp32_001.wav,bg,noise,ambiente,esp32,quarto,medio,-32.4,-46.5,,2026-09-25T19:44:56
noise/bg_ambiente_esp32_002.wav,bg,noise,ambiente,esp32,quarto,medio,-33.2,-47.6,,2026-09-25T19:45:00
noise/bg_ambiente_esp32_003.wav,bg,noise,ambiente,esp32,quarto,medio,-33.8,-47.9,,2026-09-25T19:45:03
noise/bg_ambiente_esp32_004.wav,bg,noise,ambiente,esp32,quarto,medio,-32.9,-46.9,,2026-09-25T19:45:07
noise/bg_ambiente_esp32_005.wav,bg,noise,ambiente,esp32,quarto,medio,-33.4,-47.2,,2026-09-25T19:45:10
noise/bg_ambiente_esp32_006.wav,bg,noise,ambiente,esp32,quarto,medio,-32.6,-46.8,,2026-09-25T19:45:14
noise/bg_ambiente_esp32_007.wav,bg,noise,ambiente,esp32,quarto,medio,-32.1,-46.1,,2026-09-25T19:45:18
noise/bg_ambiente_esp32_008.wav,bg,noise,ambiente,esp32,quarto,medio,-33.3,-46.4,,2026-09-25T19:45:21
noise/bg_ambiente_esp32_009.wav,bg,noise,ambiente,esp32,quarto,medio,-34.2,-47.9,,2026-09-25T19:45:24
noise/bg_ambiente_esp32_010.wav,bg,noise,ambiente,esp32,quarto,medio,-33.4,-47.7,,2026-09-25T19:45:27
noise/bg_ambiente_esp32_011.wav,bg,noise,ambiente,esp32,quarto,medio,-33.1,-46.8,,2026-09-25T19:45:30
dog/s01_dog_esp32_001.wav,p1,dog,dog,esp32,p1_normal,perto,-3.5,-23.4,,2026-09-25T19:46:40
